,User,hashtag,retweet,weight
0,ARSENAL,energy,1106.0,1.0
1,BRENTTODERIAN,biodiversity,355.0,1.0
2,BRENTTODERIAN,emissions,258.0,1.0
3,BRENTTODERIAN,pollution,258.0,1.0
4,CEVIKUSHB,FridaysForFuture,432.0,1.0
5,CEVIKUSHB,climateemergency,432.0,1.0
6,CEVIKUSHB,climatestrike,993.0,3.0
7,CEVIKUSHB,facetheclimateemergency,561.0,2.0
8,CEVIKUSHB,fridaysforfuture,993.0,3.0
9,CEVIKUSHB,keepitintheground,432.0,1.0
10,CEVIKUSHB,makeecocideacrime,432.0,1.0
11,CEVIKUSHB,schoolstrike4climate,993.0,3.0
12,CHARLOTTEAUMAN1,FridaysForFuture,532.0,2.0
13,CHARLOTTEAUMAN1,actonsahel,23.0,1.0
14,CHARLOTTEAUMAN1,climate,23.0,1.0
15,CHARLOTTEAUMAN1,climatechange,23.0,1.0
16,CHARLOTTEAUMAN1,climatechangeisreal,336.0,1.0
17,CHARLOTTEAUMAN1,climatejustice,629.0,2.0
18,CHARLOTTEAUMAN1,climatestrike,397.0,2.0
19,CHARLOTTEAUMAN1,climatestrikeonline,929.0,4.0
20,CHARLOTTEAUMAN1,deforestation,23.0,1.0
21,CHARLOTTEAUMAN1,escazuya,196.0,1.0
22,CHARLOTTEAUMAN1,facetheclimateemergency,397.0,2.0
23,CHARLOTTEAUMAN1,fridaysforfuture,929.0,4.0
24,CHARLOTTEAUMAN1,fridaythoughts,336.0,1.0
25,CHARLOTTEAUMAN1,myfuture,293.0,1.0
26,CHARLOTTEAUMAN1,onebilliontreesforafrica,127.0,2.0
27,CHARLOTTEAUMAN1,schoolstrike4climate,929.0,4.0
28,CHARLOTTEAUMAN1,stayhomestaysafe,293.0,1.0
29,CLIMATEBEN,climate,403.0,4.0
30,CLIMATEBEN,deforestation,537.0,3.0
31,CLIMATEBEN,globalwarming,234.0,3.0
32,CLIMATEBEN,microplastics,291.0,2.0
33,CNN,calltoearth,235.0,2.0
34,CNN,globalwarming,698.0,1.0
35,CNN,microplastics,235.0,2.0
36,CNN,wildlife,118.0,1.0
37,ERLIJNG,365sustainabledecisions,442.0,16.0
38,ERLIJNG,actnow,649.0,23.0
39,ERLIJNG,actonclimate,859.0,30.0
40,ERLIJNG,actonclimatechange,916.0,32.0
41,ERLIJNG,art,27.0,1.0
42,ERLIJNG,ashtag,21.0,1.0
43,ERLIJNG,bee,35.0,1.0
44,ERLIJNG,bees,35.0,1.0
45,ERLIJNG,book,41.0,1.0
46,ERLIJNG,climateaction,916.0,32.0
47,ERLIJNG,climatecrisis,23.0,1.0
48,ERLIJNG,crafting,26.0,1.0
49,ERLIJNG,emails,21.0,1.0
50,ERLIJNG,energy,57.0,2.0
51,ERLIJNG,environmentallyfriendly,652.0,23.0
52,ERLIJNG,flowers,41.0,1.0
53,ERLIJNG,fornature,39.0,1.0
54,ERLIJNG,greenplanet,87.0,3.0
55,ERLIJNG,insect,35.0,1.0
56,ERLIJNG,insects,35.0,1.0
57,ERLIJNG,naturenow,270.0,10.0
58,ERLIJNG,plasticfree,64.0,2.0
59,ERLIJNG,questionnaire,23.0,1.0
60,ERLIJNG,savetheplanet,916.0,32.0
61,ERLIJNG,sayno2plastic,64.0,2.0
62,ERLIJNG,sdgs,42.0,2.0
63,ERLIJNG,sharingsolutions,916.0,32.0
64,ERLIJNG,showers,23.0,1.0
65,ERLIJNG,singleuseplastic,27.0,1.0
66,ERLIJNG,storage,21.0,1.0
67,ERLIJNG,sustainability,916.0,32.0
68,ERLIJNG,sustainable,916.0,32.0
69,ERLIJNG,upcycling,217.0,7.0
70,ERLIJNG,vinegar,32.0,1.0
71,ERLIJNG,water,24.0,1.0
72,ERLIJNG,wrapping,26.0,1.0
73,ERLIJNG,zerowaste,422.0,14.0
74,EUCLIMATEACTION,CleanTech,821.0,4.0
75,EUCLIMATEACTION,buildbackbetter,166.0,1.0
76,EUCLIMATEACTION,cleantech,821.0,4.0
77,EUCLIMATEACTION,climatechange,64.0,1.0
78,EUCLIMATEACTION,climateneutraleu,527.0,2.0
79,EUCLIMATEACTION,climateresilienteurope,64.0,1.0
80,EUCLIMATEACTION,euadaptationstrategy,64.0,1.0
81,EUCLIMATEACTION,eugreendeal,484.0,2.0
82,EUCLIMATEACTION,euhaveyoursay,64.0,1.0
83,EUCLIMATEACTION,greenrecovery,166.0,1.0
84,EUCLIMATEACTION,innovationfund,821.0,4.0
85,FEMALES4DJT,zerowaste,1861.0,1.0
86,FORTNITEGAME,savetheworld,3908.0,8.0
87,FRIDAYS_INDIA,FridaysForFuture,102.0,1.0
88,FRIDAYS_INDIA,actnow,241.0,1.0
89,FRIDAYS_INDIA,airpollution,263.0,1.0
90,FRIDAYS_INDIA,assam,241.0,1.0
91,FRIDAYS_INDIA,bicycle,102.0,1.0
92,FRIDAYS_INDIA,bihar,241.0,1.0
93,FRIDAYS_INDIA,bikelife,102.0,1.0
94,FRIDAYS_INDIA,climateaction,102.0,1.0
95,FRIDAYS_INDIA,climatebreakdown,241.0,1.0
96,FRIDAYS_INDIA,climatecrisis,241.0,1.0
97,FRIDAYS_INDIA,climateemergency,241.0,1.0
98,FRIDAYS_INDIA,climatestrike,504.0,2.0
99,FRIDAYS_INDIA,covid19,102.0,1.0
100,FRIDAYS_INDIA,cycling,102.0,1.0
101,FRIDAYS_INDIA,deforestation,263.0,1.0
102,FRIDAYS_INDIA,delhi,241.0,1.0
103,FRIDAYS_INDIA,drought,263.0,1.0
104,FRIDAYS_INDIA,ebikes,102.0,1.0
105,FRIDAYS_INDIA,eia2020draft,263.0,1.0
106,FRIDAYS_INDIA,floods,263.0,1.0
107,FRIDAYS_INDIA,fridaysforfuture,102.0,1.0
108,FRIDAYS_INDIA,future,263.0,1.0
109,FRIDAYS_INDIA,resetforbiking,102.0,1.0
110,FRIDAYS_INDIA,smogtowers,263.0,1.0
111,FRIDAYS_INDIA,walking,102.0,1.0
112,FRONTALASSAULT1,reduce,828.0,1.0
113,GASPRICEWIZARD,climate,62.0,2.0
114,GASPRICEWIZARD,climatechange,42.0,1.0
